height_cm,weight_kg,preferred_foot,skill_moves,pace,shooting,passing,dribbling,defending,physic,attacking_crossing,attacking_heading_accuracy,skill_curve,skill_fk_accuracy,skill_long_passing,movement_agility,movement_balance,power_jumping,mentality_aggression,mentality_penalties,position
170,72,0,4,85.0,92.0,91.0,95.0,34.0,65.0,85,70,93,94,91,91,95,68,44,75,RW
185,81,1,4,78.0,92.0,79.0,86.0,44.0,82.0,71,90,79,85,70,77,82,85,81,90,ST
187,83,1,5,87.0,94.0,80.0,88.0,34.0,75.0,87,90,81,84,77,86,74,95,63,88,ST
175,68,1,5,91.0,83.0,86.0,94.0,37.0,63.0,85,63,88,87,81,96,84,64,63,93,LW
181,70,1,4,76.0,86.0,93.0,88.0,64.0,78.0,94,55,85,83,93,79,78,63,76,83,CM
182,73,1,5,97.0,88.0,80.0,92.0,36.0,77.0,78,72,80,69,71,92,83,78,62,79,ST
188,89,1,3,70.0,91.0,83.0,83.0,47.0,83.0,80,86,83,65,86,71,70,79,80,91,ST
168,70,1,2,78.0,66.0,75.0,82.0,87.0,83.0,68,54,49,49,79,82,92,77,93,54,CDM
185,81,1,4,76.0,86.0,81.0,87.0,39.0,77.0,75,89,81,73,73,79,72,79,63,84,CF
183,78,1,4,88.0,87.0,82.0,86.0,43.0,69.0,83,68,85,74,74,86,78,60,62,73,LM
185,84,1,2,65.0,73.0,76.0,73.0,86.0,90.0,58,79,62,74,84,61,66,87,91,66,CDM
193,92,1,2,78.0,60.0,71.0,72.0,91.0,84.0,53,87,60,70,86,61,53,90,83,62,CB
175,69,1,4,91.0,83.0,80.0,89.0,44.0,77.0,78,84,77,64,71,93,88,87,75,71,LW
175,71,0,4,90.0,87.0,81.0,90.0,45.0,75.0,79,59,83,69,75,91,91,69,63,86,RW
177,75,1,3,70.0,73.0,86.0,84.0,83.0,79.0,91,72,85,61,90,84,84,79,89,44,CDM
184,82,1,3,70.0,70.0,76.0,74.0,88.0,84.0,66,92,74,76,83,77,66,93,90,92,CB
182,83,1,3,72.0,90.0,82.0,84.0,47.0,83.0,80,84,86,82,77,75,78,69,87,83,ST
183,76,1,3,53.0,81.0,91.0,81.0,71.0,68.0,88,58,86,84,93,63,71,32,60,73,CM
191,94,0,3,84.0,87.0,74.0,78.0,39.0,83.0,73,89,78,66,70,60,52,76,71,88,ST
170,69,1,4,91.0,82.0,79.0,87.0,45.0,66.0,79,46,79,72,69,94,93,57,59,67,LW
179,69,1,4,75.0,86.0,89.0,84.0,70.0,77.0,87,64,87,87,88,80,79,73,78,91,CAM
194,94,0,3,89.0,91.0,65.0,80.0,45.0,88.0,47,69,77,62,51,75,72,74,85,76,ST
173,70,1,4,71.0,89.0,75.0,87.0,33.0,69.0,70,78,83,73,64,82,90,78,65,75,ST
172,66,1,4,73.0,76.0,89.0,88.0,72.0,66.0,86,55,85,78,89,91,92,67,62,82,CM
180,69,0,5,83.0,81.0,86.0,87.0,48.0,69.0,88,51,91,88,82,94,76,73,73,73,RW
185,76,1,3,67.0,84.0,83.0,80.0,56.0,71.0,85,81,81,59,79,73,71,77,62,70,CAM
185,85,1,3,86.0,87.0,67.0,81.0,39.0,77.0,55,81,70,51,53,75,85,82,77,88,ST
